index,         voltage_V,          temperature_C
227,           2.325600,            5.515835
228,           2.335200,            5.088797
229,           2.344800,            4.659459
230,           2.354400,            4.227643
231,           2.364000,            3.793161
232,           2.373600,            3.355809
233,           2.383200,            2.915373
234,           2.392800,            2.471625
235,           2.402400,            2.024322
236,           2.412000,            1.573207
237,           2.421600,            1.118009
238,           2.431200,            0.658441
239,           2.440800,            0.194202
240,           2.450400,            -0.275026
241,           2.460000,            -0.749576
242,           2.469600,            -1.229801
243,           2.479200,            -1.716066
244,           2.488800,            -2.208757
245,           2.498400,            -2.708276
246,           2.508000,            -3.215044
247,           2.517600,            -3.729500
248,           2.527200,            -4.252102
249,           2.536800,            -4.783326
250,           2.546400,            -5.323671
251,           2.556000,            -5.873650
252,           2.565600,            -6.433802
253,           2.575200,            -7.004683
254,           2.584800,            -7.586870
255,           2.594400,            -8.180963
256,           2.604000,            -8.787580
257,           2.613600,            -9.407365
258,           2.623200,            -10.040981
259,           2.632800,            -10.689113
260,           2.642400,            -11.352469
261,           2.652000,            -12.031781
262,           2.661600,            -12.727801
263,           2.671200,            -13.441307
264,           2.680800,            -14.173099
265,           2.690400,            -14.923999
266,           2.700000,            -15.694855
267,           2.709600,            -16.486538
268,           2.719200,            -17.299942
269,           2.728800,            -18.135986
270,           2.738400,            -18.995613
271,           2.748000,            -19.879789
272,           2.757600,            -20.789506
273,           2.767200,            -21.725779
274,           2.776800,            -22.689648
275,           2.786400,            -23.682177
276,           2.796000,            -24.704455
277,           2.805600,            -25.757593
278,           2.815200,            -26.842730
279,           2.824800,            -27.961026
280,           2.834400,            -29.113666
281,           2.844000,            -30.301859
282,           2.853600,            -31.526838
283,           2.863200,            -32.789859
284,           2.872800,            -34.092202
285,           2.882400,            -35.435170
286,           2.892000,            -36.820087
287,           2.901600,            -38.248303
